mobile_name,rating,price
"POCO C3 (Arctic Blue, 64 GB)",4.3,"₹7,999"
"POCO M2 (Slate Blue, 64 GB)",4.3,"₹9,999"
"Realme Narzo 20A (Victory Blue, 64 GB)",4.4,"₹9,499"
"Realme Narzo 20A (Glory Silver, 64 GB)",4.4,"₹9,499"
"Realme Narzo 20 (Victory Blue, 64 GB)",4.3,"₹10,499"
"Realme Narzo 20 (Glory Silver, 128 GB)",4.3,"₹11,499"
"Realme Narzo 20 (Glory Silver, 64 GB)",4.3,"₹10,499"
"Realme Narzo 20 (Victory Blue, 128 GB)",4.3,"₹11,499"
"POCO C3 (Lime Green, 64 GB)",4.3,"₹7,999"
"POCO X3 (Cobalt Blue, 128 GB)",4.4,"₹15,999"
"POCO M2 (Pitch Black, 64 GB)",4.3,"₹9,999"
"Redmi 9i (Sea Blue, 64 GB)",4.3,"₹8,299"
"POCO M2 Pro (Green and Greener, 64 GB)",4.4,"₹11,999"
"POCO M2 (Pitch Black, 128 GB)",4.3,"₹10,999"
"POCO X3 (Shadow Gray, 128 GB)",4.4,"₹15,999"
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)",4.4,"₹7,999"
"Infinix Smart 4 Plus (Midnight Black, 32 GB)",4.4,"₹7,999"
"Infinix Hot 10 (Obsidian Black, 64 GB)",4.4,"₹9,499"
"Infinix Hot 10 (Ocean Wave, 64 GB)",4.4,"₹9,499"
"Infinix Hot 10 (Moonlight Jade, 64 GB)",4.4,"₹9,499"
"POCO M2 Pro (Green and Greener, 64 GB)",4.4,"₹12,999"
"Redmi 9i (Nature Green, 64 GB)",4.3,"₹8,299"
"POCO M2 (Brick Red, 64 GB)",4.3,"₹9,999"
"Infinix Smart 4 Plus (Violet, 32 GB)",4.4,"₹7,999"
"POCO M2 Pro (Out of the Blue, 64 GB)",4.4,"₹12,999"
"POCO C3 (Matte Black, 64 GB)",4.3,"₹7,999"
"Realme 7i (Fusion Green, 128 GB)",4.3,"₹12,999"
"POCO M2 Pro (Out of the Blue, 64 GB)",4.4,"₹11,999"
"Redmi 9i (Midnight Black, 64 GB)",4.3,"₹8,299"
"Realme C11 (Rich Green, 32 GB)",4.4,"₹7,499"
"Realme C11 (Rich Grey, 32 GB)",4.4,"₹7,499"
"POCO M2 (Brick Red, 128 GB)",4.3,"₹10,999"
"Redmi 9 Prime (Mint Green, 64 GB)",4.4,"₹9,999"
"Realme 7 (Mist Blue, 64 GB)",4.3,"₹14,999"
"Realme 7 (Mist Blue, 128 GB)",4.3,"₹16,999"
"Redmi 9 Prime (Sunrise Flare, 64 GB)",4.4,"₹9,999"
"Realme C12 (Power Blue, 32 GB)",4.4,"₹8,999"
"Realme C12 (Power Silver, 32 GB)",4.4,"₹8,999"
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,"₹12,999"
"Redmi 9 Prime (Space Blue, 64 GB)",4.4,"₹9,999"
"Infinix Hot 10 (Moonlight Jade, 128 GB)",4.4,"₹10,999"
"Infinix Hot 10 (Ocean Wave, 128 GB)",4.4,"₹10,999"
"Infinix Hot 10 (Amber Red, 128 GB)",4.4,"₹10,999"
"POCO C3 (Lime Green, 32 GB)",4.3,"₹7,499"
"POCO X3 (Cobalt Blue, 64 GB)",4.4,"₹14,999"
"POCO C3 (Arctic Blue, 32 GB)",4.3,"₹7,499"
"Redmi 9 Prime (Matte Black, 64 GB)",4.4,"₹9,999"
"POCO C3 (Matte Black, 32 GB)",4.3,"₹7,499"
"Infinix Hot 10 (Obsidian Black, 128 GB)",4.4,"₹10,999"
"Infinix Smart 4 (Violet, 32 GB)",4.4,"₹6,999"
"Infinix Smart 4 (Quetzal Cyan, 32 GB)",4.4,"₹6,999"
"Infinix Smart 4 (Ocean Wave, 32 GB)",4.4,"₹6,999"
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,"₹11,999"
"Redmi 9 Prime (Mint Green, 128 GB)",4.4,"₹10,999"
"POCO X2 (Matrix Purple, 128 GB)",4.5,"₹15,999"
"Redmi Note 9 pro max (Aurora Blue, 64 GB)",4.4,"₹14,999"
"POCO X3 (Cobalt Blue, 128 GB)",4.3,"₹17,999"
"Realme C12 (Power Silver, 64 GB)",4.4,"₹9,999"
"Realme C12 (Power Blue, 64 GB)",4.4,"₹9,999"
"Redmi Note 9 Pro Max (Interstellar Black, 64 GB)",4.4,"₹14,999"
"Motorola E7 Plus (Misty Blue, 64 GB)",4.2,"₹9,999"
"POCO M2 Pro (Out of the Blue, 128 GB)",4.4,"₹14,999"
"Samsung Galaxy F41 (Fusion Green, 128 GB)",4.3,"₹16,499"
"Motorola G9 (Sapphire Blue, 64 GB)",4.2,"₹10,999"
"Tecno Spark Power 2 Air (Ice Jadeite, 32 GB)",4.3,"₹8,499"
Nokia 105 Ta-1304 SS (Black),4.2,"₹1,163"
"Samsung Galaxy F41 (Fusion Blue, 128 GB)",4.3,"₹16,499"
"Redmi Note 9 Pro Max (Glacier White, 64 GB)",4.4,"₹15,478"
Nokia TA-1010/105,4.3,"₹1,177"
"Samsung Galaxy F41 (Fusion Blue, 64 GB)",4.3,"₹15,499"
"Realme Narzo 20 Pro (Black Ninja, 128 GB)",4.3,"₹16,999"
"POCO M2 Pro (Green and Greener, 128 GB)",4.4,"₹14,999"
"OPPO A12 (Black, 64 GB)",4.4,"₹11,490"
"Tecno Spark Power 2 Air (Cosmic Shine, 32 GB)",4.3,"₹8,499"
"Realme 6i (Lunar White, 64 GB)",4.4,"₹13,999"
"Google Pixel 4a (Just Black, 128 GB)",4.6,"₹31,999"
"Motorola One Fusion+ (Moonlight White, 128 GB)",4.4,"₹17,499"
"POCO X3 (Shadow Gray, 64 GB)",4.4,"₹14,999"
"Vivo Y50 (Iris Blue, 128 GB)",4.4,"₹16,490"
"Vivo Y50 (Pearl White, 128 GB)",4.4,"₹16,490"
Nokia 105 SS 2020,4.3,"₹1,174"
"OPPO A12 (Black, 32 GB)",4.3,"₹8,990"
"OPPO A12 (Blue, 64 GB)",4.4,"₹11,490"
"OPPO Reno2 F (Lake Green, 256 GB)",4.4,"₹17,990"
"Realme 7 (Mist White, 128 GB)",4.3,"₹16,999"
"Redmi 9 Prime (Matte Black, 128 GB)",4.4,"₹10,999"
"Infinix Smart HD 2021 (Topaz Blue, 32 GB)",4.5,"₹6,099"
Lava Flip,4.3,"₹1,683"
"POCO X2 (Atlantis Blue, 64 GB)",4.5,"₹14,999"
"Samsung Galaxy F41 (Fusion Black, 128 GB)",4.3,"₹16,499"
Nokia 105 SS 2020,4.3,"₹1,176"
Karbonn KX3,3.9,₹781
"Realme C15 (Power Blue, 64 GB)",4.4,"₹10,999"
"Realme C15 (Power Silver, 64 GB)",4.4,"₹10,999"
"Vivo Y12s (Glacier Blue, 32 GB)",4.3,"₹9,990"
"Realme C15 Qualcomm Edition (Power Silver, 32 GB)",4.3,"₹9,999"
"Realme C15 Qualcomm Edition (Power Silver, 64 GB)",4.4,"₹10,999"
Lava A1 Josh,4.2,₹897
"OPPO A12 (Blue, 32 GB)",4.3,"₹8,990"
"Samsung Galaxy F41 (Fusion Green, 64 GB)",4.3,"₹15,499"
Lava Flip,4.3,"₹1,683"
"Gionee Max (Royal Blue, 32 GB)",4.1,"₹5,999"
"Gionee Max (Black, 32 GB)",4.1,"₹5,999"
"Realme Narzo 20A (Glory Silver, 32 GB)",4.3,"₹8,499"
"Realme Narzo 20A (Victory Blue, 32 GB)",4.3,"₹8,499"
"Infinix Smart 4 Plus (Quetzal Cyan, 32 GB)",4.4,"₹7,999"
"Infinix Hot 10 (Amber Red, 64 GB)",4.4,"₹9,499"
"Realme 7i (Fusion Blue, 64 GB)",4.3,"₹11,999"
"Realme 7i (Fusion Green, 64 GB)",4.3,"₹11,999"
"POCO M2 (Slate Blue, 128 GB)",4.3,"₹10,999"
"Realme 7i (Fusion Blue, 128 GB)",4.3,"₹12,999"
"Realme 7 (Mist White, 64 GB)",4.3,"₹14,999"
"OPPO Reno2 F (Sky White, 128 GB)",4.4,"₹21,990"
"Realme 6i (Eclipse Black, 64 GB)",4.4,"₹12,999"
"POCO X2 (Atlantis Blue, 128 GB)",4.5,"₹15,999"
"OPPO Reno2 F (Sky White, 256 GB)",4.4,"₹17,990"
"Infinix Smart 4 (Midnight Black, 32 GB)",4.4,"₹6,999"
"Infinix Smart HD 2021 (Quartz Green, 32 GB)",4.5,"₹6,099"
"Infinix Smart HD 2021 (Obsidian Black, 32 GB)",4.5,"₹6,099"
"Realme 6i (Lunar White, 64 GB)",4.4,"₹12,999"
"Gionee Max (Red, 32 GB)",4.1,"₹5,999"
"Motorola G9 Power (Electric Violet, 64 GB)",4.2,"₹11,999"
"Infinix Hot 9 (Violet, 64 GB)",4.4,"₹9,499"
"Infinix Hot 9 (Ocean Wave, 64 GB)",4.4,"₹9,499"
"Realme Narzo 20 Pro (Black Ninja, 64 GB)",4.3,"₹14,999"
"Tecno Spark 6 Go (Mystery White, 64 GB)",4.3,"₹8,699"
"Tecno Spark 6 Go (Aqua Blue, 64 GB)",4.3,"₹8,699"
Lava A1,4.2,₹931
"Redmi 9i (Sea Blue, 128 GB)",4.3,"₹9,299"
"Redmi 9 Power (Blazing Blue, 64 GB)",4.2,"₹11,412"
"Realme C15 (Power Blue, 32 GB)",4.3,"₹9,999"
"Realme C15 (Power Silver, 32 GB)",4.3,"₹9,999"
"Samsung Galaxy F41 (Fusion Black, 64 GB)",4.3,"₹15,499"
Micromax X741,4,"₹1,249"
Micromax X741,4,"₹1,260"
"POCO M2 Pro (Two Shades of Black, 128 GB)",4.4,"₹14,999"
"Realme C15 Qualcomm Edition (Power Blue, 32 GB)",4.3,"₹9,999"
Lava A3,4.2,"₹1,073"
"Apple iPhone 11 (White, 64 GB)",4.7,"₹51,999"
"POCO X2 (Matrix Purple, 64 GB)",4.5,"₹14,999"
"Infinix Hot 9 (Quetzal Cyan, 64 GB)",4.4,"₹9,499"
"Realme 6 (Comet White, 64 GB)",4.4,"₹14,999"
"Realme 6 (Comet Blue, 64 GB)",4.4,"₹14,999"
"Vivo S1 Pro (Jazzy Blue, 128 GB)",4.4,"₹18,990"
"Vivo S1 Pro (Mystic Black, 128 GB)",4.4,"₹18,990"
"Redmi Note 9 Pro Max (Champagne Gold, 64 GB)",4.4,"₹14,999"
"Infinix Note 7 (Aether Black, 64 GB)",4.3,"₹10,999"
"Infinix Note 7 (Forest Green, 64 GB)",4.3,"₹10,999"
"Realme 7 Pro (Mirror Blue, 128 GB)",4.4,"₹21,999"
Micromax X741,4,"₹1,196"
Lava A3,4.2,"₹1,073"
Lava A1,4.2,₹931
Lava A1,4.2,₹931
Lava A1,4.2,₹931
Lava A1,4.2,₹931
Lava A1,4.2,₹931
"Vivo Y30 (Emerald Black, 128 GB)",4.3,"₹14,990"
"Vivo Y20 (Dawn White, 64 GB)",4.4,"₹12,990"
"Vivo Y20 (Obsidian Black, 64 GB)",4.4,"₹12,990"
"Realme C3 (Frozen Blue, 32 GB)",4.4,"₹8,999"
"Realme Narzo 20 Pro (White Knight, 64 GB)",4.3,"₹14,999"
"Realme Narzo 20 Pro (White Knight, 128 GB)",4.3,"₹16,999"
MarQ by Flipkart 110 Magic,4,₹969
"Samsung Galaxy M01 (Blue, 32 GB)",4.2,"₹8,035"
"Vivo Y20i (Nebula Blue, 64 GB)",4.4,"₹11,490"
"Itel Vision1 (Gradation Green, 32 GB)",4.1,"₹6,699"
"OPPO A12 (Deep Blue, 64 GB)",4.4,"₹11,990"
"OPPO A12 (Flowing Silver, 32 GB)",4.3,"₹8,990"
"Vivo Y30 (Dazzle Blue, 128 GB)",4.3,"₹13,990"
"Vivo Y30 (Emerald Black, 128 GB)",4.3,"₹13,990"
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹43,999"
"Realme C3 (Volcano Grey, 32 GB)",4.4,"₹8,999"
"Vivo Y31 (Ocean Blue, 128 GB)",4.6,"₹16,490"
"Vivo Y20i (Dawn White, 64 GB)",4.4,"₹11,490"
"Vivo Y51A (Crystal Symphony, 128 GB)",4.4,"₹17,990"
"Vivo Y51A (Titanium Sapphire, 128 GB)",4.4,"₹17,990"
"Redmi Note 9 Pro (Aurora Blue, 128 GB)",4.3,"₹17,989"
"Redmi Note 9 Pro (Champagne Gold, 64 GB)",4.4,"₹13,574"
"Tecno Camon 15 (Dark Jade, 64 GB)",4.2,"₹10,499"
Micromax X744,3.9,"₹1,235"
"Redmi 8A (Ocean Blue, 32 GB)",4.3,"₹8,399"
"Itel VISION1 (GRADATION GREEN, 32 GB)",4.1,"₹6,799"
"Realme 7 Pro (Mirror Silver, 128 GB)",4.4,"₹19,999"
"Redmi 9i (Midnight Black, 128 GB)",4.3,"₹9,299"
"Moto G 5G (Volcanic Grey, 128 GB)",4.3,"₹20,999"
"Realme 6 Pro (Lightning Orange, 64 GB)",4.4,"₹17,999"
Lava A1,4.2,"₹1,099"
"Redmi 9i (Nature Green, 128 GB)",4.3,"₹9,299"
"Redmi 9 (Sky Blue, 128 GB)",4.2,"₹10,284"
"Vivo S1 Pro (Dreamy White, 128 GB)",4.4,"₹18,990"
"OPPO A53 (Fairy White, 64 GB)",4.4,"₹12,990"
"Tecno POVA (Speed Purple, 64 GB)",4.4,"₹10,499"
"Moto G 5G (Volcanic Grey, 128 GB)",4.3,"₹20,999"
Gfive A2,3.8,₹675
Nokia 150 DS 2020,4.1,"₹2,393"
Micromax X807,4,"₹1,510"
"Realme 6 Pro (Lightning Orange, 64 GB)",4.4,"₹17,999"
"Redmi 9i (Nature Green, 128 GB)",4.3,"₹9,299"
Samsung Guru 1200,4.3,"₹1,395"
"Redmi 9 (Sky Blue, 128 GB)",4.2,"₹10,284"
"Redmi 9 (Sky Blue, 64 GB)",4.2,"₹9,428"
Samsung Guru 1200,4.3,"₹1,399"
"Vivo S1 Pro (Dreamy White, 128 GB)",4.4,"₹18,990"
"OPPO A53 (Fairy White, 64 GB)",4.4,"₹12,990"
"Tecno POVA (Speed Purple, 64 GB)",4.4,"₹10,499"
"Apple iPhone 11 (Black, 64 GB)",4.7,"₹51,999"
"Redmi 9 Prime (Sunrise Flare, 128 GB)",4.4,"₹10,999"
"Vivo Y30 (Dazzle Blue, 128 GB)",4.3,"₹14,990"
Micromax X746,4,"₹1,348"
"Vivo V20 2021 (Sunset Melody, 128 GB)",4.4,"₹24,990"
"Redmi Note 9 Pro (Aurora Blue, 64 GB)",4.4,"₹13,799"
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹43,999"
Karbonn K19 Rock,3.9,₹859
"Samsung Galaxy M01 (Black, 32 GB)",4.2,"₹7,827"
Kechaoda K112,4,"₹1,315"
Nokia 110 DS 2020,4,"₹1,638"
Samsung Guru Music 2,4.3,"₹1,898"
Karbonn KX3,4,₹791
Nokia 150 Ta-1235 DS (Red),4.1,"₹2,284"
I Kall K3310,3.6,₹649
I Kall K3310,3.6,₹649
"Motorola One Fusion+ (Twilight Blue, 128 GB)",4.4,"₹17,499"
"Motorola G9 Power (Metallic Sage, 64 GB)",4.2,"₹11,999"
"OPPO Reno2 F (Lake Green, 128 GB)",4.4,"₹21,990"
"Infinix Note 7 (Bolivia Blue, 64 GB)",4.3,"₹10,999"
"Realme 7 Pro (Sun Kissed Leather, 128 GB)",4.4,"₹21,999"
"POCO X3 (Shadow Gray, 128 GB)",4.3,"₹17,999"
"Realme 6i (Eclipse Black, 64 GB)",4.4,"₹13,999"
"OPPO A12 (Deep Blue, 32 GB)",4.3,"₹8,990"
"Vivo Y51 (Titanium Sapphire, 128 GB)",4.4,"₹17,990"
"Vivo Y20 (Purist Blue, 64 GB)",4.4,"₹13,990"
"Realme C3 (Blazing Red, 64 GB)",4.4,"₹9,999"
"Realme C3 (Blazing Red, 32 GB)",4.4,"₹8,999"
"Tecno Spark 6 Go (Ice Jadeite, 64 GB)",4.3,"₹8,699"
"Tecno POVA (Magic Blue, 128 GB)",4.3,"₹12,499"
"Tecno Spark Go 2020 (Mystery White, 32 GB)",4.4,"₹6,999"
"Tecno Spark Go 2020 (Aqua Blue, 32 GB)",4.4,"₹6,999"
"Tecno Spark Go 2020 (Ice jadeite, 32 GB)",4.4,"₹6,999"
"Realme C3 (Frozen Blue, 64 GB)",4.4,"₹9,999"
Micromax X817,4,"₹1,499"
Nokia 150 Ta-1235 DS (Red),4.1,"₹2,284"
"Redmi 9 (Sporty Orange, 64 GB)",4.2,"₹9,464"
"Vivo Y11 (Agate Red, 32 GB)",4.3,"₹9,490"
"Vivo Y11 (Mineral Blue, 32 GB)",4.3,"₹9,490"
"OPPO A53 (Fairy White, 128 GB)",4.3,"₹15,490"
"OPPO A53 (Electric Black, 64 GB)",4.4,"₹12,990"
BlackZone ECO X,4,"₹1,230"
BlackZone ECO X,4,"₹1,230"
"Vivo Y91i (Fusion Black, 32 GB)",4.3,"₹8,490"
Micromax X746,4,"₹1,325"
"Realme 6 Pro (Lightning Blue, 128 GB)",4.4,"₹19,999"
Nokia 216/216 DS,4.2,"₹2,799"
"OPPO F15 (Blazing Blue, 128 GB)",4.4,"₹18,990"
"Realme 7 Pro (Mirror Silver, 128 GB)",4.4,"₹21,999"
"Realme X3 (Arctic White, 128 GB)",4.4,"₹24,999"
Nokia 150 DS 2020,4.1,"₹2,299"
"Vivo V20 SE (Aquamarine Green, 128 GB)",4.3,"₹20,990"
Nokia 105,4,"₹1,175"
"OPPO A53 (Fancy Blue, 64 GB)",4.4,"₹12,990"
Karbonn K9,4,"₹1,249"
Lava Gem,4.2,"₹1,529"
"Apple iPhone 11 (Purple, 64 GB)",4.7,"₹51,999"
"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)",4.5,"₹34,999"
"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹43,999"
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",4.4,"₹14,419"
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",4.3,"₹16,980"
"Redmi 8A Dual (Sky White, 32 GB)",4.3,"₹7,499"
"Redmi Note 9 Pro (Glacier White, 128 GB)",4.4,"₹14,364"
"Redmi Note 9 Pro Max (Glacier White, 128 GB)",4.4,"₹15,540"
Karbonn KX3,3.9,₹849
Karbonn K9,4,"₹1,249"
Lava A1,4.2,"₹1,049"
"Vivo Y31 (Racing Black, 128 GB)",4.6,"₹16,490"
"Redmi 9 Power (Fiery Red, 64 GB)",4.2,"₹11,128"
Micromax X378,4,₹875
Micromax X378,4,₹834
Kechaoda K112,4,"₹1,328"
"LG G8X (Black, 128 GB)",4.4,"₹27,990"
"Samsung GALAXY M51 (Celestial Black, 128 GB)",4.3,"₹23,274"
"Lava Z66 (Midnight Blue, 32 GB)",4.1,"₹6,877"
"Micromax IN 1b (Purple, 32 GB)",4.2,"₹6,999"
"Micromax IN 1b (Blue, 32 GB)",4.2,"₹6,999"
"OPPO F15 (Blazing Blue, 128 GB)",4.4,"₹15,990"
"Redmi 9 (Carbon Black, 64 GB)",4.2,"₹9,518"
"Redmi 9 (Sky Blue, 64 GB)",4.2,"₹9,429"
